OID_,ref,site_id,lat,lon,RSG,Sand,Silt,Clay,Slope,Elevation,MAT,MAP,pH,TOC,TN,occ_p,mineral_p,inorg_p,org_p,avail_p,total_p,He_et_al,total_p_RF
28,Lloyd et al. 2015,TAN-01,-14.761900000000001,-52.264200000000002,Arenosols,0.460000000000000,0.050000000000000,0.490000000000000,0.186717200000000,294.000000000000000,25.100000000000001,1650.000000000000000,4.100000000000000,2.550000000000000,0.160000000000000,52.299999999999997,0.450000000000000,28.120000000000001,50.340000000000003,10.880000000000001,142.099999999999994,267.5539856,179.6870117
29,Lloyd et al. 2015,ALC-02,-2.381000000000000,-54.905700000000003,Arenosols,0.910000000000000,0.040000000000000,0.050000000000000,0.024517250000000,4.000000000000000,26.000000000000000,1970.000000000000000,4.800000000000000,1.020000000000000,0.050000000000000,49.899999999999999,1.810000000000000,15.869999999999999,39.460000000000001,9.980000000000000,117.000000000000000,492.4379272,224.1794586
30,Lloyd et al. 2015,ALC-01,-2.381000000000000,-54.905700000000003,Arenosols,0.970000000000000,0.010000000000000,0.020000000000000,0.024517250000000,4.000000000000000,25.899999999999999,2020.000000000000000,5.100000000000000,0.420000000000000,0.020000000000000,16.699999999999999,2.720000000000000,8.160000000000000,10.880000000000001,3.630000000000000,42.100000000000001,492.4379272,224.1794586
31,Quesada et al. 2010,ALP-21,-3.953000000000000,-73.436999999999998,Arenosols,0.940000000000000,0.040000000000000,0.030000000000000,0.187680400000000,127.000000000000000,26.300000000000001,2751.500000000000000,4.140000000000000,0.912000000000000,0.064000000000000,13.210000000000001,0.700000000000000,1.000000000000000,11.520000000000000,9.770000000000000,36.200000000000003,460.7308960,185.1751709
32,Quesada et al. 2010,ALP-30,-3.954000000000000,-73.426000000000002,Arenosols,0.820000000000000,0.160000000000000,0.020000000000000,0.104017800000000,125.900000000000006,26.300000000000001,2751.500000000000000,4.070000000000000,1.126000000000000,0.084000000000000,0.490000000000000,0.600000000000000,2.430000000000000,14.869999999999999,18.670000000000002,37.060000000000002,460.7308960,185.1751709
33,Lloyd et al. 2015,TUC-01,-18.412700000000001,-60.801900000000003,Cambisols,0.480000000000000,0.350000000000000,0.180000000000000,0.059045340000000,291.000000000000000,24.800000000000001,820.000000000000000,6.100000000000000,1.080000000000000,0.120000000000000,237.500000000000000,37.189999999999998,54.420000000000002,136.509999999999991,69.840000000000003,535.500000000000000,385.3652954,308.2738953
34,Lloyd et al. 2015,TUC-03,-18.412700000000001,-60.801900000000003,Cambisols,0.780000000000000,0.180000000000000,0.040000000000000,0.059045340000000,291.000000000000000,24.699999999999999,890.000000000000000,6.400000000000000,0.620000000000000,0.050000000000000,50.600000000000001,1.360000000000000,2.270000000000000,41.270000000000003,13.609999999999999,109.099999999999994,385.3652954,308.2738953
35,Quesada et al. 2010,YAN-02,-3.434000000000000,-72.843999999999994,Cambisols,0.100000000000000,0.200000000000000,0.280000000000000,0.416641700000000,97.299999999999997,26.199999999999999,2805.500000000000000,5.150000000000000,1.303000000000000,0.156000000000000,323.420000000000016,7.340000000000000,44.899999999999999,85.340000000000003,7.950000000000000,468.949999999999989,487.9538879,400.8401184
36,Quesada et al. 2010,TAM-07,-12.826000000000001,-69.260999999999996,Cambisols,0.470000000000000,0.240000000000000,0.290000000000000,0.147103200000000,218.900000000000006,25.399999999999999,2457.599999999999909,4.220000000000000,1.418000000000000,0.137000000000000,88.609999999999999,0.800000000000000,21.239999999999998,62.100000000000001,7.840000000000000,180.590000000000003,450.8013306,349.3847961
37,Quesada et al. 2010,ZAR-03,-3.995000000000000,-69.900000000000006,Cambisols,0.490000000000000,0.240000000000000,0.270000000000000,0.371008100000000,119.500000000000000,25.800000000000001,2799.800000000000182,4.000000000000000,4.156000000000000,0.213000000000000,58.460000000000001,0.490000000000000,8.779999999999999,22.770000000000000,11.390000000000001,101.890000000000001,381.5014648,431.9134216
38,Quesada et al. 2010,TAM-05,-12.830000000000000,-69.271000000000001,Cambisols,0.400000000000000,0.170000000000000,0.440000000000000,0.132029200000000,217.900000000000006,25.399999999999999,2457.599999999999909,3.910000000000000,1.511000000000000,0.161000000000000,149.280000000000001,1.460000000000000,22.140000000000001,41.969999999999999,11.750000000000000,226.599999999999994,450.8013306,349.3847961
39,Quesada et al. 2010,BOG-01,-0.702000000000000,-76.478999999999999,Cambisols,0.360000000000000,0.350000000000000,0.290000000000000,0.874479900000000,265.899999999999977,24.899999999999999,3172.300000000000182,4.630000000000000,1.601000000000000,0.201000000000000,270.740000000000009,7.270000000000000,32.990000000000002,89.030000000000001,13.369999999999999,413.399999999999977,320.2246704,480.2850037
40,Quesada et al. 2010,MNU-03,-11.900000000000000,-71.400000000000006,Cambisols,0.230000000000000,0.410000000000000,0.360000000000000,0.778659500000000,357.699999999999989,25.199999999999999,2457.000000000000000,4.530000000000000,0.679000000000000,0.085000000000000,90.049999999999997,12.260000000000000,36.329999999999998,69.260000000000005,31.539999999999999,239.439999999999998,344.8246155,390.1127319
41,Quesada et al. 2010,RST-01,-9.039000000000000,-72.266999999999996,Cambisols,0.390000000000000,0.350000000000000,0.250000000000000,0.545237500000000,278.000000000000000,25.699999999999999,1803.700000000000045,5.560000000000000,1.354000000000000,0.137000000000000,163.210000000000008,9.510000000000000,15.740000000000000,38.579999999999998,13.160000000000000,240.199999999999989,353.6825867,367.5972595
42,Quesada et al. 2010,BOG-02,-0.700000000000000,-76.471000000000004,Cambisols,0.470000000000000,0.230000000000000,0.300000000000000,1.071310000000000,261.199999999999989,24.899999999999999,3172.300000000000182,4.950000000000000,1.423000000000000,0.177000000000000,266.949999999999989,22.489999999999998,36.369999999999997,68.120000000000005,16.550000000000001,410.480000000000018,320.2246704,480.2850037
43,Quesada et al. 2010,CRP-02,-14.538000000000000,-61.497999999999998,Cambisols,0.840000000000000,0.090000000000000,0.070000000000000,0.651411500000000,248.000000000000000,24.199999999999999,1383.599999999999909,6.170000000000000,6.343000000000000,0.507000000000000,69.370000000000005,84.299999999999997,188.199999999999989,238.219999999999999,21.770000000000000,601.860000000000014,238.0780640,473.9775391
44,Quesada et al. 2010,MTH-01,-8.884000000000000,-72.790000000000006,Cambisols,0.250000000000000,0.380000000000000,0.370000000000000,0.572761800000000,235.599999999999994,25.800000000000001,1652.500000000000000,5.920000000000000,2.283000000000000,0.210000000000000,217.719999999999999,12.800000000000001,22.270000000000000,61.770000000000003,17.379999999999999,331.939999999999998,404.9437866,318.3360291
