id,nx,ny,lat,lon,Sand,Silt,Clay,Slope,Elevation,MAT,MAP,pH,TOC,TN,SRG_Acrisols,SRG_Alisols,SRG_Andosols,SRG_Arenosols,SRG_Cambisols,SRG_Ferralsols,SRG_Fluvisols,SRG_Gleysols,SRG_Lixisols,SRG_Luvisols,SRG_Nitisols,SRG_Plinthosols,SRG_Podzol,SRG_Regosols,SRG_Umbrisols
58,243,166,6.75,-58.25,0.2929,0.0332,0.0154,0.3062,24.7237,26.6032,2254.9355,3.8732,31.49829,0.39802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,226,167,6.25,-66.75,0.1278,0.331,0.5412,2.2899,224.9725,25.5361,2469.1389,3.526,1.2,0.11314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,227,167,6.25,-66.25,0.1608,0.33,0.5092,3.4074,482.5322,25.6167,2506.9167,3.57,1.1174,0.10189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,228,167,6.25,-65.75,0.2356,0.33,0.4344,2.0989,344.0997,25.6417,2501.1389,3.74,0.9168,0.09432,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,229,167,6.25,-65.25,0.1388,0.33,0.5312,3.8906,604.2242,23.5278,2679.9167,3.52,1.1764,0.09529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,230,167,6.25,-64.75,0.24,0.33,0.43,3.585,377.88,26.75,2757.0833,3.75,0.905,0.09852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,231,167,6.25,-64.25,0.35,0.33,0.32,0.9385,251.812,25.9361,2857.0833,4,0.61,0.10117,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,232,167,6.25,-63.75,0.2158,0.33,0.4542,0.6485,318.6505,25.575,2775.3611,3.695,0.9699,0.12824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,233,167,6.25,-63.25,0.2953,0.2749,0.4298,1.7688,376.6033,25.4167,2644.8333,3.761,1.0724,0.1265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,234,167,6.25,-62.75,0.7108,0.1319,0.1573,1.984,431.2386,24.6528,2446.3057,4.643,0.7654,0.18011,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,235,167,6.25,-62.25,0.6978,0.1358,0.1664,3.45,594.1989,24.5778,2288.1943,4.538,0.7868,0.19939,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,236,167,6.25,-61.75,0.5465,0.2171,0.2364,3.0081,349.4395,25.7694,2302.7778,4.174,0.7395,0.09972,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,237,167,6.25,-61.25,0.6913,0.1567,0.152,1.4222,222.3567,25.1722,2056.8333,4.401,1.2798,0.14553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,238,167,6.25,-60.75,0.8402,0.1218,0.038,2.4041,575.0469,23.1583,1482.1111,4.518,2.2308,0.15355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,239,167,6.25,-60.25,0.642,0.1416,0.2164,2.8921,399.1908,25.5028,1981.1389,4.662,1.7882,0.10363,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,240,167,6.25,-59.75,0.528,0.174,0.298,0.5016,131.8081,25.825,2333.3057,4.81,1.581,0.08735,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,241,167,6.25,-59.25,0.5994,0.1374,0.2632,1.0085,141.5906,25.8028,2263.0278,4.654,1.6068,0.08774,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,242,167,6.25,-58.75,0.8306,0.0494,0.12,0.9657,104.3119,26.0194,2051.6943,4.298,0.8752,0.09634,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
76,243,167,6.25,-58.25,0.8152,0.0388,0.006,0.4734,52.4425,26.1889,1957.4445,4.594,7.3006,0.09736,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
77,244,167,6.25,-57.75,0.2822,0.3197,0.2279,0.1472,18.886,26.9029,1431.4286,4.5798,10.70628,0.16203,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
78,245,167,6.25,-57.25,0.35,0.32,0.33,0.0727,5.1185,27.2437,1770.25,5.1,3.8,0.09059,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
79,225,168,5.75,-67.25,0.2343,0.3251,0.4406,1.2147,120.9639,26.7556,2563.7222,3.718,1.0843,0.10457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,226,168,5.75,-66.75,0.13,0.33,0.54,4.2898,489.0142,24.3056,2805.6667,3.5,1.2,0.09803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,227,168,5.75,-66.25,0.1524,0.3192,0.5284,5.9402,754.915,23.6083,2839.3333,3.508,1.1668,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,228,168,5.75,-65.75,0.1753,0.3091,0.5156,5.9833,775.3414,24.3472,2745.2222,3.538,1.1401,0.10131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,229,168,5.75,-65.25,0.3252,0.266,0.4088,5.4513,898.6392,21.5667,3000.9443,4.268,1.1424,0.09091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,230,168,5.75,-64.75,0.3577,0.308,0.3343,4.0192,675.7317,25.5889,3176.0833,4.129,0.7495,0.09093,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,231,168,5.75,-64.25,0.289,0.3292,0.3818,0.3208,299.4817,25.5833,3148.9443,3.853,0.7885,0.10072,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,232,168,5.75,-63.75,0.1754,0.3252,0.4994,2.6865,440.31,24.025,3201.1111,3.553,1.1677,0.10211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,233,168,5.75,-63.25,0.2473,0.3157,0.437,4.4884,689.8786,24.7778,3422.8333,3.633,1.1274,0.10047,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,234,168,5.75,-62.75,0.6196,0.1564,0.224,2.1056,510.6775,23.2,3047.3889,4.164,0.9268,0.09487,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,235,168,5.75,-62.25,0.714,0.1295,0.1565,5.9419,939.553,22.5417,2731.3333,4.715,0.767,0.09577,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,236,168,5.75,-61.75,0.7,0.14,0.16,3.76,965.7908,20.6833,2233.2778,4.4,0.76,0.08943,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,237,168,5.75,-61.25,0.7748,0.1312,0.094,2.9732,1184.86,20.7444,1799.8334,4.444,1.4376,0.09154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
