OID_,lat,lon,occ_p
48,-7.9583302,-73.375,172.46839999999997
49,-7.9583302,-73.2917023,156.62819999999994
50,-7.9583302,-73.2082977,172.8878999999999
51,-7.9583302,-73.125,156.42509999999996
52,-7.9583302,-73.0417023,145.16889999999995
53,-7.9583302,-72.9582977,163.85939999999994
54,-7.9583302,-72.875,161.00339999999989
55,-7.9583302,-72.7917023,149.06059999999988
56,-7.9583302,-72.7082977,177.25149999999994
57,-7.9583302,-72.625,178.45869999999996
58,-7.9583302,-72.5417023,178.11089999999996
59,-7.9583302,-72.4582977,165.92139999999992
60,-7.9583302,-72.375,181.68409999999997
61,-7.9583302,-72.2917023,191.0293
62,-7.9583302,-72.2082977,222.1025000000001
63,-7.9583302,-72.125,209.69850000000005
64,-7.9583302,-72.0417023,207.47860000000009
65,-7.9583302,-71.9582977,209.54300000000006
66,-7.9583302,-71.875,220.27800000000013
67,-7.9583302,-71.7917023,221.1759000000001
68,-7.9583302,-71.7082977,221.1943000000001
69,-7.9583302,-71.625,184.73329999999999
70,-7.9583302,-71.5417023,184.00589999999997
71,-7.9583302,-71.4582977,188.97039999999998
72,-7.9583302,-71.375,183.18310000000002
73,-7.9583302,-71.2917023,175.32109999999994
74,-7.9583302,-71.2082977,146.57930000000002
75,-7.9583302,-71.125,172.69250000000002
76,-7.9583302,-71.0417023,171.7652
77,-7.9583302,-70.9582977,181.4887
78,-7.9583302,-70.875,179.9666
79,-7.9583302,-70.7917023,165.19989999999999
80,-7.9583302,-70.5417023,194.52569999999992
81,-7.9583302,-70.4582977,186.58700000000002
82,-7.9583302,-70.375,195.4615999999999
83,-7.9583302,-70.2917023,158.0490999999999
84,-7.9583302,-70.2082977,134.20949999999996
85,-7.9583302,-70.125,138.22019999999995
86,-7.9583302,-70.0417023,146.64569999999992
87,-7.9583302,-69.9582977,131.08879999999994
88,-7.9583302,-69.875,144.96409999999992
89,-7.9583302,-69.7917023,165.5477999999999
90,-7.9583302,-69.7082977,139.86679999999996
91,-7.9583302,-69.625,131.5894
92,-7.9583302,-69.5417023,131.35659999999993
93,-7.9583302,-69.4582977,146.9574999999999
94,-7.9583302,-69.375,147.00509999999989
95,-7.9583302,-69.2917023,135.24619999999993
96,-7.9583302,-69.2082977,127.02919999999995
97,-7.9583302,-69.125,131.87179999999992
98,-7.9583302,-69.0417023,152.28299999999993
99,-7.9583302,-68.9582977,152.1022999999999
100,-7.9583302,-68.875,135.86599999999996
101,-7.9583302,-68.7917023,155.96019999999993
102,-7.9583302,-68.7082977,154.0125
103,-7.9583302,-68.625,160.64199999999985
104,-7.9583302,-68.5417023,150.0063999999999
105,-7.9583302,-68.4582977,129.14899999999997
106,-7.9583302,-68.375,142.11799999999994
107,-7.9583302,-68.2917023,146.06789999999992
108,-7.9583302,-68.2082977,117.51599999999999
109,-7.9583302,-68.125,129.1041
110,-7.9583302,-68.0417023,127.29079999999998
111,-7.9583302,-67.9582977,132.89459999999997
112,-7.9583302,-67.875,88.96120000000006
113,-7.9583302,-67.7917023,100.62370000000003
114,-7.9583302,-67.7082977,75.04290000000002
115,-7.9583302,-67.625,105.67480000000005
116,-7.9583302,-67.5417023,113.59830000000002
117,-7.9583302,-67.4582977,112.4208
118,-7.9583302,-67.375,145.78999999999994
119,-7.9583302,-67.2917023,122.93999999999998
120,-7.9583302,-67.2082977,123.24949999999998
121,-7.9583302,-67.125,131.09759999999997
122,-7.9583302,-67.0417023,126.74479999999998
123,-7.9583302,-66.9582977,121.6275
124,-7.9583302,-66.875,120.7775
125,-7.9583302,-66.7917023,140.19199999999992
126,-7.9583302,-66.7082977,123.89889999999997
127,-7.9583302,-66.625,119.55639999999998
128,-7.9583302,-66.5417023,122.22999999999996
129,-7.9583302,-66.4582977,127.50279999999994
130,-7.9583302,-66.375,122.10789999999997
131,-7.9583302,-66.2917023,118.62549999999999
132,-7.9583302,-66.2082977,127.70280000000001
133,-7.9583302,-66.125,119.8327
134,-7.9583302,-66.0417023,117.64630000000001
135,-7.9583302,-65.9582977,124.5457
136,-7.9583302,-65.875,126.95970000000001
137,-7.9583302,-65.7917023,127.6359
138,-7.9583302,-65.7082977,122.0271
139,-7.9583302,-65.625,123.6937
140,-7.9583302,-65.5417023,122.20390000000002
141,-7.9583302,-65.4582977,123.68800000000002
142,-7.9583302,-65.375,123.53110000000001
143,-7.9583302,-65.2917023,122.6783
144,-7.9583302,-65.2082977,129.64409999999998
145,-7.9583302,-65.125,121.411
146,-7.9583302,-65.0417023,122.79500000000002
147,-7.9583302,-64.9582977,123.31030000000001
148,-7.9583302,-64.875,125.22100000000002
149,-7.9583302,-64.7917023,146.67469999999994
150,-7.9583302,-64.7082977,122.86320000000002
151,-8.0416698,-77.625,325.9528999999999
152,-8.0416698,-77.5417023,321.99620000000004
153,-8.0416698,-77.4582977,325.9678
154,-8.0416698,-77.375,312.7590000000001
155,-8.0416698,-77.125,308.4774
156,-8.0416698,-77.0417023,288.5380000000002
157,-8.0416698,-76.9582977,301.2359000000002
158,-8.0416698,-76.875,290.1616000000002
159,-8.0416698,-76.7917023,225.80600000000007
160,-8.0416698,-76.7082977,235.1145000000001
161,-8.0416698,-76.625,230.59350000000012
162,-8.0416698,-76.5417023,228.7624
